tag,family,active_keys,max_entries,key_size,value_size,environment,run,case,real_ns_per_invocation,control_ns_per_invocation,net_ns_per_helper
lf0256,load,256,1024,4,8,kernel,2,percpu_hash_update,64836.000000000,2403.264000000,62.432736000
lf0256,load,256,1024,4,8,kernel,3,hash_lookup,21614.585600000,2674.073600000,18.940512000
lf0256,load,256,1024,4,8,kernel,3,hash_update,87902.451200000,2396.537600000,85.505913600
lf0256,load,256,1024,4,8,kernel,3,percpu_hash_lookup,21939.526400000,2674.073600000,19.265452800
lf0256,load,256,1024,4,8,kernel,3,percpu_hash_update,64862.048000000,2396.537600000,62.465510400
lf0256,load,256,1024,4,8,kernel,4,hash_lookup,21579.526400000,2673.331200000,18.906195200
lf0256,load,256,1024,4,8,kernel,4,hash_update,87925.062400000,2391.539200000,85.533523200
lf0256,load,256,1024,4,8,kernel,4,percpu_hash_lookup,21865.676800000,2673.331200000,19.192345600
lf0256,load,256,1024,4,8,kernel,4,percpu_hash_update,64845.369600000,2391.539200000,62.453830400
lf0256,load,256,1024,4,8,kernel,5,hash_lookup,21607.347200000,2676.531200000,18.930816000
lf0256,load,256,1024,4,8,kernel,5,hash_update,87941.356800000,2393.862400000,85.547494400
lf0256,load,256,1024,4,8,kernel,5,percpu_hash_lookup,21975.782400000,2676.531200000,19.299251200
lf0256,load,256,1024,4,8,kernel,5,percpu_hash_update,64836.736000000,2393.862400000,62.442873600
lf0256,load,256,1024,4,8,bpftime,1,hash_lookup,40739.168000000,1184.524800000,39.554643200
lf0256,load,256,1024,4,8,bpftime,1,hash_update,38163.526400000,380.595200000,37.782931200
lf0256,load,256,1024,4,8,bpftime,1,percpu_hash_lookup,149878.675200000,1184.524800000,148.694150400
lf0256,load,256,1024,4,8,bpftime,1,percpu_hash_update,222164.992000000,380.595200000,221.784396800
lf0256,load,256,1024,4,8,bpftime,2,hash_lookup,42312.595200000,1182.233600000,41.130361600
lf0256,load,256,1024,4,8,bpftime,2,hash_update,38728.518400000,379.136000000,38.349382400
lf0256,load,256,1024,4,8,bpftime,2,percpu_hash_lookup,149520.569600000,1182.233600000,148.338336000
lf0256,load,256,1024,4,8,bpftime,2,percpu_hash_update,221857.792000000,379.136000000,221.478656000
lf0256,load,256,1024,4,8,bpftime,3,hash_lookup,41415.488000000,1184.179200000,40.231308800
lf0256,load,256,1024,4,8,bpftime,3,hash_update,38284.940800000,379.884800000,37.905056000
lf0256,load,256,1024,4,8,bpftime,3,percpu_hash_lookup,149456.121600000,1184.179200000,148.271942400
lf0256,load,256,1024,4,8,bpftime,3,percpu_hash_update,221442.348800000,379.884800000,221.062464000
lf0256,load,256,1024,4,8,bpftime,4,hash_lookup,41557.228800000,1182.144000000,40.375084800
lf0256,load,256,1024,4,8,bpftime,4,hash_update,38181.561600000,379.148800000,37.802412800
lf0256,load,256,1024,4,8,bpftime,4,percpu_hash_lookup,149367.212800000,1182.144000000,148.185068800
lf0256,load,256,1024,4,8,bpftime,4,percpu_hash_update,221227.865600000,379.148800000,220.848716800
lf0256,load,256,1024,4,8,bpftime,5,hash_lookup,40924.556800000,1182.508800000,39.742048000
lf0256,load,256,1024,4,8,bpftime,5,hash_update,38112.275200000,379.641600000,37.732633600
lf0256,load,256,1024,4,8,bpftime,5,percpu_hash_lookup,149481.638400000,1182.508800000,148.299129600
lf0256,load,256,1024,4,8,bpftime,5,percpu_hash_update,221139.904000000,379.641600000,220.760262400
lf0512,load,512,1024,4,8,kernel,1,hash_lookup,22927.993600000,2679.168000000,20.248825600
lf0512,load,512,1024,4,8,kernel,1,hash_update,89116.313600000,2374.400000000,86.741913600
lf0512,load,512,1024,4,8,kernel,1,percpu_hash_lookup,24346.246400000,2679.168000000,21.667078400
lf0512,load,512,1024,4,8,kernel,1,percpu_hash_update,65157.459200000,2374.400000000,62.783059200
lf0512,load,512,1024,4,8,kernel,2,hash_lookup,22944.979200000,2673.056000000,20.271923200
lf0512,load,512,1024,4,8,kernel,2,hash_update,89103.520000000,2377.792000000,86.725728000
lf0512,load,512,1024,4,8,kernel,2,percpu_hash_lookup,24384.844800000,2673.056000000,21.711788800
