tag,case,control,reason,environment,metric,run,iterations,real_count,control_count,net_per_helper
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,bpftime,cycles,2,5000,1533170796.000,207029335.000,265.228292200
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,bpftime,cycles,3,5000,1536305207.000,207328523.000,265.795336800
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,bpftime,instructions,1,5000,5030711797.000,375281486.000,931.086062200
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,bpftime,instructions,2,5000,5036322511.000,380056536.000,931.253195000
lf0512,percpu_hash_lookup,lookup_control,4B-key 8B-value per-CPU lookup baseline,bpftime,instructions,3,5000,5036205671.000,380335568.000,931.174020600
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,kernel,cycles,1,5000,591464477.000,42044592.000,109.883977000
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,kernel,cycles,2,5000,591137706.000,42021797.000,109.823181800
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,kernel,cycles,3,5000,591508869.000,41989092.000,109.903955400
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,kernel,instructions,1,5000,1484892354.000,123087060.000,272.361058800
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,kernel,instructions,2,5000,1484913227.000,123106749.000,272.361295600
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,kernel,instructions,3,5000,1484915802.000,123097561.000,272.363648200
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,bpftime,cycles,1,5000,2173607203.000,204436513.000,393.834138000
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,bpftime,cycles,2,5000,2164646991.000,204619216.000,392.005555000
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,bpftime,cycles,3,5000,2162922581.000,203071239.000,391.970268400
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,bpftime,instructions,1,5000,7436990142.000,360835492.000,1415.230930000
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,bpftime,instructions,2,5000,7436797704.000,359388588.000,1415.481823200
lf0512,percpu_hash_update,update_control,4B-key 8B-value per-CPU update baseline,bpftime,instructions,3,5000,7437218042.000,359665820.000,1415.510444400
