map,operation,stat,pair,noop_wall_ns,real_wall_ns,net_wall_ns,noop_task-clock,real_task-clock,net_task-clock,noop_cycles,real_cycles,net_cycles,noop_instructions,real_instructions,net_instructions,noop_branches,real_branches,net_branches,noop_branch-misses,real_branch-misses,net_branch-misses,noop_cache-references,real_cache-references,net_cache-references,noop_cache-misses,real_cache-misses,net_cache-misses
array,update,pair,3,2.777345,22.203094333333333,19.425749333333332,2.9361129568106312,22.360033222591362,19.42392026578073,6.4037877408637875,48.77311958139535,42.36933184053156,14.461668757475083,157.6136156744186,143.15194691694353,3.083054481727575,29.10552027574751,26.022465794019933,0.0027284352159468437,0.0027302259136212626,1.7906976744188827e-06,0.010561594684385382,0.012125717607973423,0.0015641229235880405,0.005658465116279069,0.005788511627906977,0.00013004651162790756
array,update,pair,4,2.7825923333333336,22.233937666666666,19.451345333333332,2.940531561461794,22.3912292358804,19.450697674418606,6.413366019933555,48.84166017275748,42.42829415282392,14.463053983388704,157.6030955681063,143.1400415847176,3.084793006644518,29.10540489036545,26.02061188372093,0.003207156146179402,0.002755495016611296,-0.00045166112956810615,0.010539700996677741,0.012235578073089701,0.0016958770764119602,0.00560456146179402,0.0059355813953488375,0.00033101993355481776
array,update,pair,5,2.776956666666667,22.226449,19.449492333333332,2.93468438538206,22.38372093023256,19.4490365448505,6.40070888372093,48.82402372425249,42.42331484053156,14.45519946179402,157.5815048305648,143.12630536877077,3.082291465116279,29.106218744186048,26.02392727906977,0.0026379102990033224,0.0027629800664451826,0.00012506976744186028,0.010491073089700997,0.012207724252491694,0.0017166511627906972,0.005574189368770764,0.005791295681063123,0.00021710631229235854
array,update,median,,2.777345,22.214277666666668,19.435215666666668,2.9361129568106312,22.371627906976745,19.43388704318937,6.4037877408637875,48.79866818272425,42.391353538205976,14.461668757475083,157.6030955681063,143.1385300564784,3.082880521594684,29.106218744186048,26.023348850498337,0.002693063122923588,0.0027331162790697676,1.6714285714285702e-05,0.010561594684385382,0.012235578073089701,0.0016958770764119602,0.005603139534883721,0.0059355813953488375,0.00033101993355481776
array,update,min,,2.772851333333333,22.203094333333333,19.425749333333332,2.931594684385382,22.360033222591362,19.42392026578073,6.393895222591362,48.77311958139535,42.36933184053156,14.45519946179402,157.5812056744186,143.12294933222591,3.08200873089701,29.10540489036545,26.02061188372093,0.00226197342192691,0.0027097774086378736,-0.00045166112956810615,0.010491073089700997,0.012125717607973423,0.0015641229235880405,0.005457691029900332,0.005788511627906977,0.00013004651162790756
array,update,max,,2.7825923333333336,22.233937666666666,19.451345333333332,2.940531561461794,22.3912292358804,19.450697674418606,6.413366019933555,48.84166017275748,42.42829415282392,14.46540330564784,157.6136156744186,143.15194691694353,3.084793006644518,29.10663269435216,26.024623963455152,0.003207156146179402,0.0027629800664451826,0.0004711428571428575,0.010626365448504984,0.012467504983388705,0.0018811960132890364,0.005658465116279069,0.0059906578073089705,0.0005329667774086385
hash,lookup,pair,1,2.7857266666666667,78.465718,75.67999133333333,3.5781967213114756,79.25590163934426,75.67770491803279,7.79877493442623,172.87139259016394,165.0726176557377,17.157231704918033,278.25853414754096,261.1013024426229,3.401834475409836,59.49512345901639,56.093288983606556,0.007684393442622951,0.21710790163934426,0.20942350819672131,0.051094,0.0620524262295082,0.010958426229508197,0.02822327868852459,0.029208081967213115,0.0009848032786885265
hash,lookup,pair,2,2.78006,80.10586733333334,77.32580733333333,3.5711475409836066,80.8916393442623,77.3204918032787,7.78277593442623,176.4353928852459,168.65261695081966,17.12828857377049,280.7322756557377,263.6039870819672,3.3916160983606556,60.50730152459016,57.115685426229504,0.007190311475409836,0.29584675409836064,0.2886564426229508,0.05182439344262295,0.06565532786885246,0.013830934426229513,0.028243704918032787,0.029486737704918033,0.001243032786885246
hash,lookup,pair,3,2.783592666666667,78.457673,75.67408033333334,3.570327868852459,79.24311475409836,75.6727868852459,7.782431967213115,172.84228496721312,165.059853,17.128866885245902,278.9339158360656,261.8050489508197,3.390489426229508,59.78237757377049,56.39188814754098,0.00785932786885246,0.2221599344262295,0.21430060655737704,0.05121483606557377,0.06683183606557377,0.015617000000000006,0.027287,0.02925354098360656,0.00196654098360656
hash,lookup,pair,4,2.7739106666666666,78.20536533333333,75.43145466666667,3.5631147540983608,78.99491803278688,75.43180327868852,7.767385803278689,172.30287475409835,164.53548895081965,17.119089590163934,279.17474529508195,262.055655704918,3.3835353278688522,59.87306213114754,56.48952680327869,0.006561245901639344,0.20992939344262296,0.20336814754098362,0.05161504918032787,0.06485668852459016,0.013241639344262292,0.025760426229508197,0.029571557377049182,0.0038111311475409852
hash,lookup,pair,5,2.7795113333333332,79.63753200000001,76.85802066666668,3.566393442622951,80.42213114754098,76.85573770491803,7.7746576557377045,175.4159162786885,167.6412586229508,17.126678278688523,278.9118665737705,261.785188295082,3.3894298196721313,59.769333098360654,56.37990327868852,0.0073762295081967215,0.26437432786885245,0.25699809836065574,0.05159549180327869,0.0635132131147541,0.011917721311475407,0.02723488524590164,0.029384524590163934,0.002149639344262294
hash,lookup,median,,2.78006,78.465718,75.67999133333333,3.570327868852459,79.25590163934426,75.67770491803279,7.782431967213115,172.87139259016394,165.0726176557377,17.12828857377049,278.9339158360656,261.8050489508197,3.390489426229508,59.78237757377049,56.39188814754098,0.0073762295081967215,0.2221599344262295,0.21430060655737704,0.05159549180327869,0.06485668852459016,0.013241639344262292,0.027287,0.029384524590163934,0.00196654098360656
