map,operation,layer,wall_ns,net_vs_control_wall_ns,increment_vs_previous_wall_ns,task-clock,net_vs_control_task-clock,increment_vs_previous_task-clock,cycles,net_vs_control_cycles,increment_vs_previous_cycles,instructions,net_vs_control_instructions,increment_vs_previous_instructions,branches,net_vs_control_branches,increment_vs_previous_branches,branch-misses,net_vs_control_branch-misses,increment_vs_previous_branch-misses,cache-references,net_vs_control_cache-references,increment_vs_previous_cache-references,cache-misses,net_vs_control_cache-misses,increment_vs_previous_cache-misses
hash,lookup,control,2.3173496666666664,0.0,0.0,3.8751612903225805,0.0,0.0,8.445710419354839,0.0,0.0,17.376296225806453,0.0,0.0,3.794494,0.0,0.0,0.006455354838709677,0.0,0.0,0.07237177419354839,0.0,0.0,0.05594609677419355,0.0,0.0
hash,lookup,lock,15.654925333333333,13.337575666666666,13.337575666666666,17.19645161290323,13.321290322580648,13.321290322580648,37.504102548387095,29.058392129032256,29.058392129032256,40.437905,23.061608774193548,23.061608774193548,10.80337670967742,7.008882709677419,7.008882709677419,0.006837129032258064,0.00038177419354838704,0.00038177419354838704,0.0720153870967742,-0.00035638709677418556,-0.00035638709677418556,0.05662432258064516,0.0006782258064516114,0.0006782258064516114
hash,lookup,l0,60.71943666666667,58.402087,45.064511333333336,62.23258064516129,58.35741935483871,45.03612903225806,135.7416209032258,127.29591048387095,98.2375183548387,205.85998758064517,188.48369135483873,165.42208258064517,40.09080148387097,36.29630748387097,29.28742477419355,0.18268683870967742,0.17623148387096774,0.17584970967741936,0.07892296774193548,0.0065511935483870964,0.006907580645161282,0.05787064516129032,0.0019245483870967695,0.001246322580645158
hash,lookup,l1,74.00310333333333,71.68575366666666,13.283666666666662,75.5758064516129,71.70064516129032,13.343225806451613,164.83507470967743,156.3893642903226,29.093453806451635,254.51255903225805,237.1362628064516,48.652571451612886,54.33183222580645,50.53733822580645,14.241030741935482,0.25397387096774193,0.24751851612903225,0.07128703225806451,0.08797761290322581,0.015605838709677425,0.009054645161290328,0.057399193548387094,0.0014530967741935435,-0.0004714516129032259
hash,lookup,l2,76.875222,74.55787233333332,2.8721186666666654,78.5083870967742,74.63322580645162,2.932580645161295,171.23790858064515,162.79219816129032,6.402833870967726,293.7144559677419,276.33815974193544,39.20189693548386,61.98387877419355,58.18938477419355,7.652046548387098,0.1672143870967742,0.1607590322580645,-0.08675948387096774,0.08883425806451613,0.016462483870967742,0.0008566451612903175,0.05841677419354839,0.00247067741935484,0.0010175806451612965
hash,lookup,l3,86.220188,83.90283833333332,9.344966,87.68193548387097,83.80677419354839,9.173548387096773,191.24223896774194,182.7965285483871,20.004330387096786,298.3700296774194,280.9937334516129,4.655573709677469,63.879508838709675,60.085014838709675,1.8956300645161264,0.5284690322580645,0.5220136774193549,0.36125464516129036,0.08488958064516129,0.012517806451612906,-0.003944677419354836,0.05777887096774194,0.001832774193548388,-0.0006379032258064521
hash,update,control,2.774825,0.0,0.0,4.315806451612903,0.0,0.0,9.408246774193548,0.0,0.0,18.398978967741936,0.0,0.0,3.7937022258064514,0.0,0.0,0.006424387096774194,0.0,0.0,0.0704055806451613,0.0,0.0,0.05573767741935484,0.0,0.0
hash,update,lock,15.652714333333334,12.877889333333334,12.877889333333334,17.178387096774195,12.862580645161291,12.862580645161291,37.464489032258065,28.056242258064515,28.056242258064515,41.434312,23.035333032258063,23.035333032258063,10.80098770967742,7.007285483870969,7.007285483870969,0.006865677419354839,0.0004412903225806449,0.0004412903225806449,0.07010383870967742,-0.00030174193548387906,-0.00030174193548387906,0.055979,0.0002413225806451591,0.0002413225806451591
hash,update,l0,64.99785933333332,62.223034333333324,49.34514499999999,66.53806451612903,62.222258064516126,49.35967741935483,145.12177967741937,135.71353290322583,107.65729064516131,239.3178977419355,220.91891877419357,197.8835857419355,46.82445470967742,43.03075248387097,36.023467,0.17265629032258065,0.16623190322580644,0.1657906129032258,0.08152290322580645,0.011117322580645156,0.011419064516129035,0.059010129032258066,0.003272451612903224,0.0030311290322580647
hash,update,l1,85.07550566666667,82.30068066666666,20.077646333333348,86.61709677419354,82.30129032258064,20.079032258064515,188.92508287096774,179.5168360967742,43.80330319354837,313.7007451935484,295.3017662258065,74.38284745161292,61.736839612903225,57.943137387096776,14.912384903225806,0.39360206451612906,0.3871776774193549,0.2209457741935484,0.08552687096774193,0.015121290322580638,0.0040039677419354824,0.05652448387096774,0.0007868064516129009,-0.002485645161290323
hash,update,l2,91.04928666666666,88.27446166666667,5.973780999999988,92.59,88.2741935483871,5.972903225806462,201.95367622580645,192.5454294516129,13.028593354838705,363.67108722580645,345.2721082580645,49.97034203225803,69.7263366451613,65.93263441935484,7.989497032258072,0.40498629032258066,0.3985619032258065,0.011384225806451598,0.08706990322580645,0.016664322580645152,0.001543032258064514,0.05869383870967742,0.0029561612903225773,0.0021693548387096764
hash,update,l3,87.474536,84.69971100000001,-3.5747506666666595,89.02677419354839,84.71096774193549,-3.5632258064516122,194.18715151612903,184.7789047419355,-7.766524709677412,360.701494483871,342.30251551612906,-2.9695927419354575,69.76416432258064,65.97046209677418,0.037827677419343786,0.36867935483870967,0.3622549677419355,-0.03630693548387098,0.08169448387096774,0.011288903225806446,-0.005375419354838706,0.05835216129032258,0.002614483870967736,-0.0003416774193548411
