family,mode,run,case,net_ns_per_helper
hash,percpu_array_no_copy,2,percpu_hash_update,237.970091200
hash,percpu_array_no_copy,3,percpu_hash_update,238.174198400
hash,percpu_array_no_copy,4,percpu_hash_update,238.374921600
hash,percpu_array_no_copy,5,percpu_hash_update,238.494465600
hash,percpu_hash_lookup_no_find,1,hash_lookup,59.538129600
hash,percpu_hash_lookup_no_find,2,hash_lookup,59.174603200
hash,percpu_hash_lookup_no_find,3,hash_lookup,60.053473600
hash,percpu_hash_lookup_no_find,4,hash_lookup,59.609516800
hash,percpu_hash_lookup_no_find,5,hash_lookup,59.957942400
hash,percpu_hash_lookup_no_find,1,hash_update,56.791928000
hash,percpu_hash_lookup_no_find,2,hash_update,56.829505600
hash,percpu_hash_lookup_no_find,3,hash_update,57.121976000
hash,percpu_hash_lookup_no_find,4,hash_update,57.017363200
hash,percpu_hash_lookup_no_find,5,hash_update,57.128116800
hash,percpu_hash_lookup_no_find,1,percpu_hash_lookup,43.881457600
hash,percpu_hash_lookup_no_find,2,percpu_hash_lookup,43.825153600
hash,percpu_hash_lookup_no_find,3,percpu_hash_lookup,43.788814400
hash,percpu_hash_lookup_no_find,4,percpu_hash_lookup,43.784193600
hash,percpu_hash_lookup_no_find,5,percpu_hash_lookup,43.742777600
hash,percpu_hash_lookup_no_find,1,percpu_hash_update,239.049737600
hash,percpu_hash_lookup_no_find,2,percpu_hash_update,238.430913600
hash,percpu_hash_lookup_no_find,3,percpu_hash_update,238.230291200
hash,percpu_hash_lookup_no_find,4,percpu_hash_update,238.322560000
hash,percpu_hash_lookup_no_find,5,percpu_hash_update,238.017403200
hash,percpu_hash_update_no_find,1,hash_lookup,60.039777600
hash,percpu_hash_update_no_find,2,hash_lookup,59.635980800
hash,percpu_hash_update_no_find,3,hash_lookup,59.553467200
hash,percpu_hash_update_no_find,4,hash_lookup,59.710651200
hash,percpu_hash_update_no_find,5,hash_lookup,59.963033600
hash,percpu_hash_update_no_find,1,hash_update,57.170940800
hash,percpu_hash_update_no_find,2,hash_update,57.007000000
hash,percpu_hash_update_no_find,3,hash_update,57.182708800
hash,percpu_hash_update_no_find,4,hash_update,56.933278400
hash,percpu_hash_update_no_find,5,hash_update,57.042076800
hash,percpu_hash_update_no_find,1,percpu_hash_lookup,164.456217600
hash,percpu_hash_update_no_find,2,percpu_hash_lookup,165.585480000
hash,percpu_hash_update_no_find,3,percpu_hash_lookup,165.321257600
hash,percpu_hash_update_no_find,4,percpu_hash_lookup,165.286316800
hash,percpu_hash_update_no_find,5,percpu_hash_lookup,165.910950400
hash,percpu_hash_update_no_find,1,percpu_hash_update,63.280376000
hash,percpu_hash_update_no_find,2,percpu_hash_update,61.441166400
hash,percpu_hash_update_no_find,3,percpu_hash_update,61.379856000
hash,percpu_hash_update_no_find,4,percpu_hash_update,62.101441600
hash,percpu_hash_update_no_find,5,percpu_hash_update,61.433115200
hash,percpu_hash_update_no_copy,1,hash_lookup,60.157768000
hash,percpu_hash_update_no_copy,2,hash_lookup,60.719728000
hash,percpu_hash_update_no_copy,3,hash_lookup,61.128406400
hash,percpu_hash_update_no_copy,4,hash_lookup,59.332172800
