map_kind,operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
array,array_lookup,real,8,20000,53254080,2662.704000000
array,array_lookup,control,8,20000,24291168,1214.558400000
array,array_lookup,real-minus-control,8,20000,0,1.448145600
array,array_update,real,8,20000,238397280,11919.864000000
array,array_update,control,8,20000,21131968,1056.598400000
array,array_update,real-minus-control,8,20000,0,10.863265600
percpu_array,array_lookup,real,8,20000,65141824,3257.091200000
percpu_array,array_lookup,control,8,20000,23959840,1197.992000000
percpu_array,array_lookup,real-minus-control,8,20000,0,2.059099200
percpu_array,array_update,real,8,20000,309991584,15499.579200000
percpu_array,array_update,control,8,20000,18888096,944.404800000
percpu_array,array_update,real-minus-control,8,20000,0,14.555174400
hash,hash_lookup,real,8,20000,547815680,27390.784000000
hash,hash_lookup,control,8,20000,24658368,1232.918400000
hash,hash_lookup,real-minus-control,8,20000,0,26.157865600
hash,hash_update,real,8,20000,1874937856,93746.892800000
hash,hash_update,control,8,20000,21008128,1050.406400000
hash,hash_update,real-minus-control,8,20000,0,92.696486400
percpu_hash,hash_lookup,real,8,20000,563961792,28198.089600000
percpu_hash,hash_lookup,control,8,20000,23959840,1197.992000000
percpu_hash,hash_lookup,real-minus-control,8,20000,0,27.000097600
percpu_hash,hash_update,real,8,20000,1345053792,67252.689600000
percpu_hash,hash_update,control,8,20000,17375808,868.790400000
percpu_hash,hash_update,real-minus-control,8,20000,0,66.383899200
array,array_lookup,control,9,20000,24278656,1213.932800000
array,array_lookup,real,9,20000,53240224,2662.011200000
array,array_lookup,real-minus-control,9,20000,0,1.448078400
array,array_update,control,9,20000,21123840,1056.192000000
array,array_update,real,9,20000,238237088,11911.854400000
array,array_update,real-minus-control,9,20000,0,10.855662400
percpu_array,array_lookup,control,9,20000,23954464,1197.723200000
percpu_array,array_lookup,real,9,20000,65191776,3259.588800000
percpu_array,array_lookup,real-minus-control,9,20000,0,2.061865600
percpu_array,array_update,control,9,20000,18864352,943.217600000
percpu_array,array_update,real,9,20000,309800896,15490.044800000
percpu_array,array_update,real-minus-control,9,20000,0,14.546827200
hash,hash_lookup,control,9,20000,24663424,1233.171200000
hash,hash_lookup,real,9,20000,547857760,27392.888000000
hash,hash_lookup,real-minus-control,9,20000,0,26.159716800
hash,hash_update,control,9,20000,20957984,1047.899200000
hash,hash_update,real,9,20000,1874622496,93731.124800000
hash,hash_update,real-minus-control,9,20000,0,92.683225600
percpu_hash,hash_lookup,control,9,20000,23988480,1199.424000000
percpu_hash,hash_lookup,real,9,20000,562843232,28142.161600000
percpu_hash,hash_lookup,real-minus-control,9,20000,0,26.942737600
percpu_hash,hash_update,control,9,20000,17430560,871.528000000
percpu_hash,hash_update,real,9,20000,1346477440,67323.872000000
percpu_hash,hash_update,real-minus-control,9,20000,0,66.452344000
array,array_lookup,real,10,20000,53280576,2664.028800000
array,array_lookup,control,10,20000,24289952,1214.497600000
array,array_lookup,real-minus-control,10,20000,0,1.449531200
array,array_update,real,10,20000,238252768,11912.638400000
array,array_update,control,10,20000,21109408,1055.470400000
array,array_update,real-minus-control,10,20000,0,10.857168000
percpu_array,array_lookup,real,10,20000,65187968,3259.398400000
percpu_array,array_lookup,control,10,20000,23987040,1199.352000000
