# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 461  of event 'cycles:u'
# Event count (approx.): 763972091
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
# ........  ...............  .....................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMDataManager::collectRequiredAndUsedAnalyses(llvm::SmallVectorImpl<llvm::Pass*>&, llvm::SmallVectorImpl<void const*>&, llvm::Pass*)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] std::enable_if<is_hashable_data<unsigned int const>::value, llvm::hash_code>::type llvm::hashing::detail::hash_combine_range_impl<unsigned int const>(unsigned int const*, unsigned int const*)
     0.21%  helper-map-clos  libbpftime-agent.so    [.] llvm::ScalarEvolution::computeExitCountExhaustively(llvm::Loop const*, llvm::Value*, bool)
     0.21%  helper-map-clos  libc.so.6              [.] __vfscanf_internal
     0.20%  helper-map-clos  libbpftime-agent.so    [.] llvm::isSafeToSpeculativelyExecuteWithOpcode(unsigned int, llvm::Instruction const*, llvm::Instruction const*, llvm::DominatorTree const*, llvm::TargetLibraryInfo const*)
     0.20%  helper-map-clos  libbpftime-agent.so    [.] programUndefinedIfUndefOrPoison(llvm::Value const*, bool)::$_18 llvm::for_each<llvm::iterator_range<llvm::Value::user_iterator_impl<llvm::User const> >, programUndefinedIfUndefOrPoison(llvm::Value const*, bool)::$_18>(llvm::iterator_range<llvm::Value::user_iterator_impl<llvm::User const> >&&, programUndefinedIfUndefOrPoison(llvm::Value const*, bool)::$_18)
     0.20%  helper-map-clos  libbpftime-agent.so    [.] llvm::PMTopLevelManager::AUFoldingSetNode::Profile(llvm::FoldingSetNodeID&, llvm::AnalysisUsage const&)
     0.20%  helper-map-clos  libbpftime-agent.so    [.] llvm::ScalarEvolution::isBasicBlockEntryGuardedByCond(llvm::BasicBlock const*, llvm::CmpInst::Predicate, llvm::SCEV const*, llvm::SCEV const*)
     0.20%  helper-map-clos  libbpftime-agent.so    [.] llvm::InstCombinerImpl::visitAllocaInst(llvm::AllocaInst&)
     0.20%  helper-map-clos  libbpftime-agent.so    [.] _frida_g_type_create_instance
     0.20%  helper-map-clos  libbpftime-agent.so    [.] llvm::DenseMap<llvm::Instruction*, llvm::Constant*, llvm::DenseMapInfo<llvm::Instruction*, void>, llvm::detail::DenseMapPair<llvm::Instruction*, llvm::Constant*> >::grow(unsigned int)
     0.20%  helper-map-clos  libbpftime-agent.so    [.] llvm::detail::DenseMapPair<llvm::Pass*, llvm::SmallPtrSet<llvm::Pass*, 8u> >* llvm::DenseMapBase<llvm::DenseMap<llvm::Pass*, llvm::SmallPtrSet<llvm::Pass*, 8u>, llvm::DenseMapInfo<llvm::Pass*, void>, llvm::detail::DenseMapPair<llvm::Pass*, llvm::SmallPtrSet<llvm::Pass*, 8u> > >, llvm::Pass*, llvm::SmallPtrSet<llvm::Pass*, 8u>, llvm::DenseMapInfo<llvm::Pass*, void>, llvm::detail::DenseMapPair<llvm::Pass*, llvm::SmallPtrSet<llvm::Pass*, 8u> > >::InsertIntoBucket<llvm::Pass* const&>(llvm::detail::DenseMapPair<llvm::Pass*, llvm::SmallPtrSet<llvm::Pass*, 8u> >*, llvm::Pass* const&)
     0.20%  helper-map-clos  libbpftime-agent.so    [.] bool llvm::PatternMatch::cstval_pred_ty<llvm::PatternMatch::is_zero_int, llvm::ConstantInt>::match<llvm::Constant const>(llvm::Constant const*)
     0.20%  helper-map-clos  libbpftime-agent.so    [.] llvm::ConstantRange::addWithNoWrap(llvm::ConstantRange const&, unsigned int, llvm::ConstantRange::PreferredRangeType) const


#
# (Cannot load tips.txt file, please install perf!)
#
