# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 379  of event 'cycles:u'
# Event count (approx.): 616778298
#
# Overhead  Command          Shared Object          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  .....................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.25%  helper-map-clos  libbpftime-agent.so    [.] llvm::SmallPtrSetImplBase::SmallPtrSetImplBase(void const**, unsigned int, llvm::SmallPtrSetImplBase&&)
     0.25%  helper-map-clos  libbpftime-agent.so    [.] llvm::InstCombinerImpl::SimplifyUsingDistributiveLaws(llvm::BinaryOperator&)
     0.25%  helper-map-clos  libbpftime-agent.so    [.] llvm::InstCombinerImpl::visitTrunc(llvm::TruncInst&)
     0.25%  helper-map-clos  libc.so.6              [.] __aarch64_cas4_acq
     0.25%  helper-map-clos  libbpftime-agent.so    [.] llvm::SparseSolver<llvm::PointerIntPair<llvm::Value*, 2u, (anonymous namespace)::IPOGrouping, llvm::PointerLikeTypeTraits<llvm::Value*>, llvm::PointerIntPairInfo<llvm::Value*, 2u, llvm::PointerLikeTypeTraits<llvm::Value*> > >, (anonymous namespace)::CVPLatticeVal, llvm::LatticeKeyInfo<llvm::PointerIntPair<llvm::Value*, 2u, (anonymous namespace)::IPOGrouping, llvm::PointerLikeTypeTraits<llvm::Value*>, llvm::PointerIntPairInfo<llvm::Value*, 2u, llvm::PointerLikeTypeTraits<llvm::Value*> > > > >::getValueState(llvm::PointerIntPair<llvm::Value*, 2u, (anonymous namespace)::IPOGrouping, llvm::PointerLikeTypeTraits<llvm::Value*>, llvm::PointerIntPairInfo<llvm::Value*, 2u, llvm::PointerLikeTypeTraits<llvm::Value*> > >)
     0.24%  helper-map-clos  libc.so.6              [.] __strlen_asimd
     0.24%  helper-map-clos  libbpftime-agent.so    [.] (anonymous namespace)::LoopInvariantCodeMotion::runOnLoop(llvm::Loop*, llvm::AAResults*, llvm::LoopInfo*, llvm::DominatorTree*, llvm::BlockFrequencyInfo*, llvm::TargetLibraryInfo*, llvm::TargetTransformInfo*, llvm::ScalarEvolution*, llvm::MemorySSA*, llvm::OptimizationRemarkEmitter*, bool)
     0.23%  helper-map-clos  [JIT] tid 793266       [.] 0x0000ffffad686068
     0.23%  helper-map-clos  libbpftime-agent.so    [.] llvm::ReversePostOrderTraversal<llvm::Function*, llvm::GraphTraits<llvm::Function*> >::Initialize(llvm::Function* const&)
     0.22%  helper-map-clos  libc.so.6              [.] cfree@GLIBC_2.17
     0.22%  helper-map-clos  libbpftime-agent.so    [.] llvm::SmallVectorImpl<std::pair<llvm::DomTreeNodeBase<llvm::MachineBasicBlock> const*, llvm::DomTreeNodeBase<llvm::MachineBasicBlock>* const*> >::operator=(llvm::SmallVectorImpl<std::pair<llvm::DomTreeNodeBase<llvm::MachineBasicBlock> const*, llvm::DomTreeNodeBase<llvm::MachineBasicBlock>* const*> >&&)
     0.22%  helper-map-clos  libbpftime-agent.so    [.] llvm::ScalarEvolution::ScalarEvolution(llvm::Function&, llvm::TargetLibraryInfo&, llvm::AssumptionCache&, llvm::DominatorTree&, llvm::LoopInfo&)
     0.22%  helper-map-clos  libbpftime-agent.so    [.] (anonymous namespace)::DAGCombiner::combine(llvm::SDNode*)
     0.22%  helper-map-clos  libbpftime-agent.so    [.] llvm::MVT::getVectorMinNumElements() const
     0.20%  helper-map-clos  libbpftime-agent.so    [.] llvm::Function::hasFnAttribute(llvm::StringRef) const


#
# (Cannot load tips.txt file, please install perf!)
#
